product,pic,videos,UI,steps,tracks,track_outs,gatelength,ratcheting,cv_ins,hp,shippingstatus,price,notes,_mgurl,_website,_year
Copper Traces Seek,seek.jpeg,official video|https://www.youtube.com/watch?v=Jb4_uZzPAAk;Color My Sound video review| https://www.youtube.com/watch?v=OD4ecCVvR5M,x0x,1/64,1,"1 cv, 1 gate, 1 accent",gate on/off per step; accent,,,12,(discontinued),299,extensive randomization features,https://www.modulargrid.net/e/copper-traces-seek,http://coppertracesmusic.com,2017
D & D Modules Heaven 16,heaven-16.jpg,official video|https://www.youtube.com/watch?v=ApluhPbhQ5s,classic,8 or 16,1-2,"1 cv, 2 gates",clock duty cycle,,transpose,27,Yes,360,cycle repeats; two gate buses,https://www.modulargrid.net/e/d-d-modules-heaven-16,http://sub-continental.com/dd/heaven.html,2020
Detroit Underground DU-SEQ,du-seq.jpeg,DivKid video|https://www.youtube.com/watch?v=dtj4IQCt1JU,classic,8/8,1,"1 cv, 1 gate","pulse, ratchet, hold or pass-through per step",repeat,2 playback modifier gate ins,30,(discontinued),500,analog; no built-in quantizer or storage,https://www.modulargrid.net/e/detroit-underground-du-seq,http://detroitunderground.net/modular/du-seq/,2016
Doepfer A-155,doepfer-A155.jpeg,Raul’s video tutorial series|https://www.youtube.com/watch?v=iwpwpb_XdGo,classic,8/8,2,"2 cv, 1 gate, 3 trig",trigger and/or gate on/off (three trigger buses) per step; variable gate length is available via expander,,"via expander: step address, start/end step, gate length, clock speed, playback direction",50,Yes,375,analog; controller expander; glide features; no built-in quantizer or storage,https://www.modulargrid.net/e/doepfer-a-155,http://www.doepfer.de/a155.htm,2012
endorphin.es Ground Control,endorphines-ground-control.jpg,Loopop video review| https://www.youtube.com/watch?v=XhriE0MKjp0,x0x,64/64,3 (plus 8 triggers),"1 cv, 1 gate","variable gate length per step, TBD",TBD,4 assignable,42,No,720,quantized mutes; extensive MIDI support including recording; 2 octave “keyboard”,https://www.modulargrid.net/e/endorphin-es-ground-control,,2019
Erica Black Sequencer,erica-black.jpg,Loopop video review| https://www.youtube.com/watch?v=roojLUKphAU;Quincas’ video manual| https://www.youtube.com/watch?v=4Gdqpz1J-w8,Cirklon-ish,16/64,4,"1 cv, 1 gate, 1 mod (assignable, including envelope generation)","variable gate length per step, TBD","ratcheting, repeat",TBD,38,Yes,610,MIDI support including recording; microtonal tunings; pattern chaining,,,2019
Extralife Instruments Super Sixteen,extralife-super-sixteen.jpg,official video series| https://www.youtube.com/watch?v=0spqBtMlcLM,x0x,16/64,1,"1 cv, 1 gate, 1 velocity",variable gate length per step,beat-repeat and stutter “effects”,,20,Yes,350 (or DIY),open source/open hardware; swing; randomization,https://www.modulargrid.net/e/other-unknown-extralife-instruments-super-sixteen-black-panel,https://store.extralifeinstruments.com/products/super-sixteen-eurorack-sequencer-module-complete,2020
Five12 Vector,vector.jpeg,Loopop video review| https://www.youtube.com/watch?v=tdzYqtgERuw; Ferry Collider video series| https://www.youtube.com/watch?v=Xj89AJPs-iA&list=PLPeTZmbx45ItLo2lt6zCGAqZSorOQo7Ee&index=5,Cirklon-ish,8/16–64,2 to 6 (plus MIDI),"1 cv, 1 gate, 1 mod (with some assignability)",variable gate length within variable step length per step; velocity,"ratcheting, repeat","2 assignable, plus assorted trigger inputs on expander",42,Yes,700,extensive MIDI support including two additional MIDI-out-only tracks; chord sequencer; drum sequencer; expander adds more track outs and gate outs; built-in Launchpad support,https://www.modulargrid.net/e/other-unknown-vector,http://www.five12.net/showthread.php?t=3408,2018
Floating Knobs Cuisine,cuisine.jpg,,x0x,16/64,up to 4 voices/mods (plus additional gate outs),assignable,variable gate length per step,,transport-related,38,Yes,530,MIDI capabilities; velocity; Euclidean patterns ,https://www.modulargrid.net/e/other-unknown-cuisine,https://www.floatingknobs.com/,2023
Frap Tools USTA,frap-usta.jpg,Loopop video review| https://www.youtube.com/watch?v=29Ravc2M-Tk; Baseput video series|https://www.youtube.com/watch?v=hKAzhn0aDVg,hybrid,16,4,"2 cv, 2 gate",variable gate length within variable step length per step,ratcheting,2 assignable,36,Yes,750,fully-independent tracks; cross-pattern looping; scale/root quantization; microtonal support; cv recording,https://www.modulargrid.net/e/frap-tools-usta,http://frap.tools/products/usta/,2019
Glasgow Synth Guild Oct tone,gsg-oct-tone.jpg,official walkthrough video| https://www.youtube.com/watch?v=z4NXnTdJAhs,classic,8,1,"1 cv, 1 gate",gate on/off per step; global gate length,ratcheting,,10,Yes,280,per step gate outputs; two units can be connected for various additional functionality,https://modulargrid.net/e/glasgow-synth-guild-oct-tone,https://www.glasgowsynthguild.com/shop1/p/spring-bowl-rltkk-jy5sr-fjw6l-dp8lg-fbmgj-cs6n2-zpp9a-y7ptz,2024
Golt Red Light District,golt-red-light-district.jpg,,classic,12/32,2,"1 cv, 1-2 gates",gate on/off per step (three gate buses),,play mode,84,Yes,900,MIDI clocking focus; unique gate timing features,https://www.modulargrid.net/e/other-unknown-red-light-district,http://goltsynth.com/rld/index.html,2018
Industrial Music Electronics Stillson Hammer Mk II,stillson-hammer2.jpeg,Bleeps and Loops video overview|https://www.youtube.com/watch?v=ajDtWHukOec,hybrid,16/16*,4,"1 cv, 1 gate",variable gate length per step; delay,ratcheting,"1 tempo, 2 assignable, 1 cv record in",32,Yes,666,per-step delay; cv outs can double as gate outs for up to 8-tracks of drum sequencing; *sliders do not always reflect state,https://www.modulargrid.net/e/the-harvestman-stillson-hammer-mkii,,2015
Intellijel Metropolis,metropolis.jpeg,Mylar Melodies video overview|https://www.youtube.com/watch?v=ylWiuqC9YsU,classic,8/8,1,"1 cv, 1 gate","pulse, ratchet or hold per step",repeat,2 assignable,34,(discontinued),580,shuffle; transpose,https://www.modulargrid.net/e/intellijel-metropolis-,https://intellijel.com/eurorack-modules/metropolis/,2012
Intellijel Metropolix,intellijel-metropolix.jpg,Loopop video eview| https://www.youtube.com/watch?v=niP5hVB43_8,hybrid,8/8,2,"1 cv, 1 gate, plus assignable mod outputs",per step length,"ratcheting, repeat",3 assignable,34,Yes,580,"eight subsequencers, probability and pitch manipulation features; gate expander",https://www.modulargrid.net/e/intellijel-metropolix,https://intellijel.com/shop/eurorack/metropolix/,2021
Intellijel Tetrapad + Tete,intellijel-tete-tetrapad.jpg,official walkthrough video| https://www.youtube.com/watch?v=ii8uHzCgEdo,GUI,256,1,"1 cv, 1 gate, plus many more depending on mode",variable gate length per step,looping,"3 assignable cv, 3 assignable gate",28,Yes,600,4 position- and pressure-sensitive pads; per-step sequencing or real time recording/looping; chord generator; many other functions out of scope of this document,https://www.modulargrid.net/e/intellijel-tete-,https://intellijel.com/shop/eurorack/tete/,2019
Ladik S-280,ladik-s280.jpg,,classic,8/8,1 or 2,"2 cv, 2 gate",variable gate length per step or per sequence,repeat,,32,Yes,260,basic semitone quantization available on-board,https://www.modulargrid.net/e/ladik-s-280,http://ladik.ladik.eu/?page_id=3182,2020
Make Noise René,rene.jpeg,official video series|https://www.youtube.com/playlist?list=PL980BA0B8E062C7E0,classic,16,1,"2 cv, 2 gate (sort of)",pulse or pass-through per step (see notes),,6 multipurpose,34,(discontinued),500,requires external clock; dual clock inputs supports dual-axis sequencing; more a gate processor than gate sequencer (conditionally generates pulses or passes through and merges externally-generated gates); separate aux cv output (arcane),https://www.modulargrid.net/e/make-noise-rene,http://www.makenoisemusic.com/modules/rene,2012
Make Noise René 2,rene2.jpg,Loopop video review| https://www.youtube.com/watch?v=zBa1sKIGok0,hybrid,16,3,"1 cv, 1 gate",trigger or pass-through per step,,5 multipurpose,34,Yes,525,requires external clock(s); multiple clock inputs supports multi-axis sequencing; z-axis supports sequencing through states,https://www.modulargrid.net/e/make-noise-rene-mk2,http://makenoisemusic.com/modules/rene,2018
Malekko Heavy Industry Varigate 8+,varigate8plus.jpeg,Daniel Dehaan video manual|https://www.youtube.com/watch?v=8Uk-mCEaxJ8,hybrid,16/16*,2,"1 cv, 1 gate",gate on/off per step; delay,ratcheting,"1 randomization gate, 1 cv record in",26,Yes,549,provides additional six gate-only tracks; probability features; *sliders do not always reflect state,https://www.modulargrid.net/e/malekko-heavy-industry-varigate-8,https://malekkoheavyindustry.com/product/varigate-8/,2016
Malekko Heavy Industry Varigate 4+,varigate4plus.jpeg,DivKid video| https://www.youtube.com/watch?v=DHunRtwulJU,hybrid,8,2,"1 cv, 1 gate",gate on/off per step,,,12,Yes,279,"can be four gate channels, four cv channels, or 2 gate+cv channels; integrates with Varigate 8+ and Voltage Block",https://www.modulargrid.net/e/malekko-heavy-industry-varigate-4-,https://malekkoheavyindustry.com/product/varigate-4plus/,2017
Mattson sq816,mattson-sq816.jpeg,,classic,8 or 16,2 or 1,"1 cv, 1 gate, plus extra per-step gate outs","pulse, hold or pass-through, globally",,"1 transpose cv, 1 clock rate cv",52,Yes,970,midi output; gated run control,https://www.modulargrid.net/e/division-6-mattson-sq816-sequencer,http://www.division-6.com/products/mattson-sq816-sequencer.php,2013
Michigan Synth Works Chronovore,chronovore.jpg,official video|https://www.youtube.com/watch?v=8TlUE-1o76o,x0x,16,1,"1 cv, 1 gate, 1 accent","50% duty cycle, 62.5% triplet",,run gate,24,Yes,330,faithful 303 sequencer recreation; accent output,https://www.modulargrid.net/e/michigan-synth-works-chronovore-black,https://michigansynthworks.com/products/chronovore-24hp-cv-gate-sequencer?variant=33286396903510,2021
Modcan Touch Sequencer,touchseq.jpeg,official tutorial videos| https://www.youtube.com/watch?v=VS9IUQl_380,GUI,8/64,4,"1 cv, 1 gate",variable gate length within variable step length per step,,1 assignable,21,Yes,600,touchscreen UI (some users may need a stylus),https://www.modulargrid.net/e/modcan-touch-sequencer,http://modcan.com/emodules/touchseq.html,2012
Monome Teletype,teletype.jpeg,Joe Filbrun video series|https://www.youtube.com/watch?v=mMAhjRKrpZE,GUI/Tracker,64+,4,"1 cv, 1 gate",programmable,"ratcheting, repeat","1 assignable trigger, 1 assignable gate",18,(discontinued),480,additional outputs per track available with expander; reliant on external QWERTY keyboard for programming (included),https://www.modulargrid.net/e/monome-teletype,http://www.monome.org/docs/modular/teletype/,2015
NONO Major Tom,nono-major-tom.jpg,,x0x,16,4,"1 cv, 1 gate","variable gate length per step, variable voltage/magnitude/velocity per step",ratcheting,1 for pattern selection only; additional inputs through expander,42,No,800,can be expanded to more channels; cv input expander,https://www.modulargrid.net/e/nono-modular-major-tom-,https://nonomodular.com/major-tom/,2024
Oakley Eight Stage Sequencer,oakley-8-stage.jpg,,classic,8,2,"1 cv, 1 gate",gate on/off per step (two gate buses),,2 transpose,50,Yes (DIY),280,multi-step “parallel loading” feature,https://www.modulargrid.net/e/oakley-sequencer,http://www.oakleysound.com/sequencer-e.htm,2019
Ornament & Crime,o_c.jpeg,Synthdad video overview|https://www.youtube.com/watch?v=3PMEHKYPAOc,GUI,16/64,2,"1 cv, 1 gate",gate on/off per step; global gate length,,4 assignable,14,Yes (DIY),300 (approx),available in various different designs and multiple firmwares; requires external clock; includes other sequencing-related programs,https://www.modulargrid.net/e/other-unknown-ornament-crime-simple-msw-panel,http://ornament-and-cri.me/user-manual-v1_3/,2016
Orthogonal Devices ER-101,er101.jpeg,Sonic Voltage in-depth video series|https://www.youtube.com/watch?v=OudbSSXJlEo&list=PLEDfBgC1tAomRytBkuaCU9mrbL5V4LXTu,per-step window,1/99+,4,"2 cv, 1 gate",variable gate length within variable step length per step,"ratcheting, repeat (de facto)","various part selection, assignable modulation and cv recording options with ER-201 expander",26,Yes,600,"requires external clock; ER-102 expander adds addressable parts, CV modulation,  various CV recording features, and SD card storage",,http://www.orthogonaldevices.com/er-101,2013
Pittsburgh Lifeforms Micro Sequence,lifeforms-micro-sequence.jpg,Synth Anatomy video overview|https://www.youtube.com/watch?v=VOnQleuKwuE,hybrid,8,1,"2 cv, 1 gate",gate on/off per step,ratcheting,1 assignable gate input,10,(discontinued),199,"various playback modes, including self-transposition",https://www.modulargrid.net/e/pittsburgh-modular-micro-sequence,https://pittsburghmodular.com/lifeforms-micro-sequence,2017
Qu-bit Bloom,qubit-bloom.jpg,White Noises video overview|https://www.youtube.com/watch?v=zUdCxccb2qs,hybrid,8/32,2,"1 cv, 1 gate",variable gate length per step,repeat,"transpose, various inputs for controlling and navigating pattern variations",16,Yes,330,"derives recursive, ephemeral, navigable melodic variations on a seed melodic pattern",https://www.modulargrid.net/e/qu-bit-electronix-bloom,https://www.qubitelectronix.com/shop/bloom,2019
Qu-bit Octone,octone.jpg,Datachrome video overview|https://www.youtube.com/watch?v=-3A5KZ9QSOM,classic,8,1,"1 cv, 1 gate",gate on/off per step; global gate length,ratcheting,,10,(discontinued),330,quantizer; special features when two Octones connected together,https://www.modulargrid.net/e/qu-bit-electronix-octone,https://www.qubitelectronix.com/shop/octone,2016
Random*Source Serge Sequencer 8 XL,random-source-xl.jpg,,classic,8,2,"1 cv, shared gate",pulse per step,,"direction, hold",42,Yes,630,per step gate outs,https://www.modulargrid.net/e/random-source-serge-sequencer-8-xl-seq8xl,http://randomsource.net/serge_euro,2018
Rossum Electro-Music Control Forge,control-forge.jpeg,dB Velocity video overview|https://www.youtube.com/watch?v=0sur7IhRrBo; mdoudoroff operational video demo| https://www.youtube.com/watch?v=1CpAygAF5nE,GUI/per-step window,8,1,"1 cv, 2 trigger/gate",global gate length,arbitrary behavioral logic,yes (it’s complicated),22,Yes,499,"really an arbitrary function generator, but can be operated as a step sequencer",https://www.modulargrid.net/e/rossum-electro-music-control-forge,http://www.rossum-electro.com/products/control_forge/,2017
RYK Modular M185,ryk-m185.jpg,Molten Modular video review|https://www.youtube.com/watch?v=QuZjsGDVuZQ,classic,8*,2,"1 cv, 1 gate","hold, off, or various patterns per step ",various patterns,,30,Yes,590,MIDI clock and out; supports microtonal scales; can sort of do 16 step sequences by chaining the two tracks; also available DIY,https://www.modulargrid.net/e/other-unknown-ryk-m185-sequencer-,https://rykmodular.bigcartel.com/product/m185-sequencer-eurorack-module,2020
SDS Digital Sequarallel,sds-sequarallel.jpg,official video| https://www.youtube.com/watch?v=ltCLjNDuN-U,Tracker,64/2000+,4,"1 cv, 1 gate, 1 mod (or 12 drum triggers)",variable gate length per step,various ratcheting behaviors,2-3 assignable,8,Yes,240,extensive MIDI I/O features including recording; probability features,https://www.modulargrid.net/e/sds-digital-sequarallel,http://www.freshnelly.com/sequarallel/sequarallel.htm,2020
Squarp Hermod,squarp-hermod.jpg,Loopop video| https://www.youtube.com/watch?v=0miq5T0QEPY;Cuckoo video tutorial|https://www.youtube.com/watch?v=lM-MsQ1L98U,GUI,1-256,8,configurable,variable gate length per step,ratcheting,four configurable inputs,26,(discontinued),460,tracks can be configured for polyphonic or velocity/aftertouch use; midi/cv effects; MIDI interface; cv recording; arpeggio features,https://www.modulargrid.net/e/other-unknown-hermod,http://squarp.net/hermod,2017
Squarp Hermod+,squarp-hermod-plus.jpg,,GUI,arbitrary,8 (plus 8 more MIDI tracks),configurable,variable gate length per step,ratcheting,four configurable inputs,26,Yes,540,full piano roll sequencing at 96ppqn resolution; tracks can be configured for polyphonic or velocity/aftertouch use; midi/cv effects; MIDI interface; cv recording; arpeggio features,https://www.modulargrid.net/e/squarp-instruments-hermod-,https://squarp.net/hermodplus/,2023
Tesseract Modular Step Fader,tesseract-step-fader.jpg,official video series|https://www.youtube.com/watch?v=jDVP22j_pQg,classic,8/16,1 or 2,"1 cv, 2 gates",gate on/off per step (two gate buses),,,26,(discontinued),200,"glide feature; can run as two separate sequencers, one sequencer with two cv rows, or as a single 16-step sequencer",https://www.modulargrid.net/e/tesseract-modular-step-fader,https://www.tesseractmodular.com/eurorack-modules/step-fader,2019
Tesseract Modular Step Fader II,tesseract-step-fader-2.jpg,Synthdad video| https://www.youtube.com/watch?v=TOHo6Jzjllg,classic,8/16,1 or 2,"1 cv, 1 gate, plus slew output",gate on/off per step (two gate buses),,two assignable inputs,26,Yes,300,"slew feature; can run as two separate sequencers, one sequencer with two cv rows, or as a single 16-step sequencer; two external inputs for quantizer",https://www.modulargrid.net/e/tesseract-modular-step-fader-mkii,https://www.tesseractmodular.com/eurorack-modules/step-fader-mkii,2023
Transister Sound Labs Stepper Acid,stepper-acid.jpeg,Mylar Melodies video demo|https://www.youtube.com/watch?v=Mj0Hw6z9pjI,x0x,16/16,1,"1 cv, 1 gate, 1 accent",gate on/off per step; accent,,,32,Yes,395,,https://www.modulargrid.net/e/transistor-sounds-labs-stepper-acid,http://www.transistorsoundslabs.com,2014
Verbos Multistage,verbos-multistage.jpeg,official video series|https://www.youtube.com/watch?v=AZSHwGeTY7U&list=PLmKE41CVixdxJJZPIncM7QR0H8AVPllLP&index=1; Lucas Marchal video demo| https://www.youtube.com/watch?v=vXuc-CPZsFw,classic,8/8,1,"1 cv, 1 gate",gate on/off per step,,,30,Yes,549,"analog; no built-in quantizer; really an arbitrary function generator, but can be operated as a step sequencer",https://www.modulargrid.net/e/verbos-electronics-voltage-multistage,http://www.verboselectronics.com/products/voltage-multistage,2014
Westlicht Per|former,performer.jpg,Anthurium video demo series|https://www.youtube.com/watch?v=5jLsQil8mnU&list=PLkD7X9UnKyniZl3rbfV-Qby32t0m1N3hh&index=6; Cinematic Laboratory video series| https://www.youtube.com/watch?v=f1Hh263Tp4s,GUI,16/64,8,"1 cv, 1 gate",variable gate length per step,ratcheting,4 assignable,34,Yes (DIY),,MIDI; modulation tracks; deep feature set,https://www.modulargrid.net/e/other-unknown-per-former,https://westlicht.github.io/performer,2019
Winter Modular Eloquencer,eloquencer.jpeg,DivKid video|https://www.youtube.com/watch?v=EPWf8bBOQXk;Sonic Voltage in-depth video|https://www.youtube.com/watch?v=O0HiDEAZ2T4,GUI/x0x,16/256,8,"1 cv, 1 gate",variable gate length per step,"ratcheting, repeat",2 assignable,38,Yes,616,extensive random/probability features; MIDI expander available,https://www.modulargrid.net/e/winter-modular-eloquencer,http://winter-modular.com,2017
WMD Metron + Voltera,wmd-metron-voltera.jpg,EZBOT video overview|https://www.youtube.com/watch?v=WynuYFj22OI; official tutorial videos series|https://www.youtube.com/watch?v=UL1qMyRWgys,x0x,16/256,4 to 64,1 cv (see notes),variable gate length per step,ratcheting,2 assignable,40,(discontinued),850,"sophisticated gate sequencer with cv track expander (4 channels per Voltera expander); note that gate and CV tracks are independent—Metron has 16 gate tracks, plus 16 accent tracks with the optional Axxent expander; up to 64 cv channels possible with additional Volteras; optional scale quantization",https://www.modulargrid.net/e/wmd-metron-black,https://www.wmdevices.com/collections/new-products-for-2016/products/metron,2019
XAOS Moskwa,xaos-moskwa.jpeg,,classic,8/8,1,"1 cv, 1 gate",variable gate length per step,,,20,(discontinued),349,no built-in quantizer; two units can be chained with expander for 16 step sequences,https://www.modulargrid.net/e/xaoc-devices-moskwa,http://xaocdevices.com/main/moskwa/,2012
XAOS Moskwa II,xaos-moskwa2.jpg,Hainbach demo| https://www.youtube.com/watch?v=zVWjdnueJbs,classic,8/8,1,"1 cv, 1 gate","trigger, 50% or 100% gate length",custom ratchet/repeat patterns,"transport, direction; more available through Ostankino expander module",20,Yes,400,quantizer with optional just intonation; probability; preset storage; two units can be chained for 16 step sequencers; cv/ouptut expander with integration to XAOC’s Liebniz subsystem,https://www.modulargrid.net/e/xaoc-devices-moskwa-ii,http://xaocdevices.com/main/moskwa2/,2021
XOR-Electronics Nerdseq,nerdseq.jpeg,SonicVoltage in-depth video series| https://www.youtube.com/watch?v=tCHyyZq7KPw; Cuckoo tutorial video| https://www.youtube.com/watch?v=mShpux61dw0,GUI/Tracker,16/64,6,"1 cv, 1 gate, 1 mod (assignable, including envelope generation)",variable gate length within variable step length per step,ratcheting,4 assignable,32,Yes,590,probability; additional CV output expanders; MIDI I/O with expander; subsequencers (tables); includes sample playback feature and synthesizer cartridge-based voice expanders; Launchpad and game controller support with expander,https://www.modulargrid.net/e/other-unknown-nerdseq,http://nerdsynth.com/nerdseq/,2016
ZetaOhm FLXS1,flxs1.jpeg,official tutorial video|https://www.youtube.com/watch?v=I_xVhS483TM,GUI/x0x,16/64,4,"1 cv, 1 gate, 1 mod",variable gate length per step,arpeggiation,4 assignable,26,(discontinued),699,extensive arpeggio features; LFOs; tracks individually clockable; MIDI I/O,https://www.modulargrid.net/e/other-unknown-flxs1,http://www.zetaohm.com,2017
